CCC(C)S	CHEMBL3183438
NC1NCC=N1	CHEMBL102029
OCC(Cl)Cl	CHEMBL113957
Ic1ccccc1	CHEMBL116296
Sc1ccccc1	CHEMBL119405
NNC(=O)NO	CHEMBL134941
Cc1cn[nH]c1	CHEMBL1308
ClC(Cl)=C	CHEMBL156455
CCC(C)CBr	CHEMBL156329
CC(C)=CBr	CHEMBL157418
ClC(Br)Br	CHEMBL157093
CC(=C)CCl	CHEMBL157368
CC(C)CCBr	CHEMBL158800
CC(Br)CCl	CHEMBL160835
NC1=NCCC1	CHEMBL161318
CC(C)=CCl	CHEMBL160508
CON(C)N=O	CHEMBL163675
CCN(C)N=O	CHEMBL164852
NC(=O)CCO	CHEMBL170341
OC(=C)C=O	CHEMBL170721
C=CCSCC=C	CHEMBL170458
COCC(N)=O	CHEMBL170742
OCC(O)C=O	CHEMBL173813
OCCCCSC#N	CHEMBL176782
NC1CCNCC1	CHEMBL174570
N#CCCSC#N	CHEMBL177036
NCC(=O)CN	CHEMBL175201
NCC(=O)NO	CHEMBL216796
C=CCN=C=S	CHEMBL233248
NCc1cccs1	CHEMBL237711
Oc1cccnc1	CHEMBL237847
NCC(=O)NN	CHEMBL241347
NCc1ccsc1	CHEMBL252602
ON1CCCCC1	CHEMBL277887
O=C1CCCN1	CHEMBL276849
CC1CCCNC1	CHEMBL279512
OCP(CO)CO	CHEMBL279546
CN1CCCCC1	CHEMBL281417
CCN(CC)CC	CHEMBL284057
OC1CCNCC1	CHEMBL284022
Nc1ccncc1	CHEMBL284348
CNCC(O)CO	CHEMBL286961
CC(C)NC=O	CHEMBL296027
NCCC(O)=O	CHEMBL297569
Nc1ccncn1	CHEMBL302453
CNCC(O)=O	CHEMBL304383
OCc1ccco1	CHEMBL308187
CCSC(N)=N	CHEMBL321691
O=C1CNCS1	CHEMBL338595
CCCCCCCCC	CHEMBL335900
CONC(N)=O	CHEMBL339711
NC(=O)C=C	CHEMBL348107
NOCC(O)=O	CHEMBL347862
O=NN1CCNCC1	CHEMBL1333
BrC(Br)Br	CHEMBL345248
ClC(Cl)Br	CHEMBL346231
NC(=O)CCl	CHEMBL346368
CNCc1ccccc1	CHEMBL1338
O=NN1CCC1	CHEMBL351479
OC(=O)CCS	CHEMBL358697
NC1=NCCS1	CHEMBL362148
S=C=NCC#C	CHEMBL401514
OCc1ccoc1	CHEMBL440914
CNC(N)=NN	CHEMBL447555
C1CCCCCC1	CHEMBL453194
ClCCSCCCl	CHEMBL455341
CCOC(N)=O	CHEMBL462547
FC(F)CCl	CHEMBL1797000
C1CC=CC1	CHEMBL1797299
Cc1cnccn1	CHEMBL479791
OOC1CCCO1	CHEMBL505384
Nn1cnnc1	CHEMBL1868166
COC(N)=O	CHEMBL1085707
NC1CCCC1	CHEMBL1171859
CSCCNCCN	CHEMBL1191800
NCCCNCCS	CHEMBL1201382
O=C1CCO1	CHEMBL1200627
CC(O)C#N	CHEMBL3559764
NCCCNCCN	CHEMBL1213267
CC1NCC=N1	CHEMBL330591
ClCC(Cl)Cl	CHEMBL43882
CCCn1ccnc1	CHEMBL95929
SCc1cccs1	CHEMBL152603
OCCSSCCO	CHEMBL1233278
COCCOCCO	CHEMBL1235250
CCC(N)=O	CHEMBL1235716
NCC(S)=O	CHEMBL1233056
Cn1cccc1	CHEMBL1234459
C=CC1CO1	CHEMBL1299388
CC(O)CCl	CHEMBL1361129
CN(C)CCS	CHEMBL1395579
CC(C)C=O	CHEMBL1404017
OCC(O)CS	CHEMBL1398948
CNC(S)=S	CHEMBL1413694
ClCC1CO1	CHEMBL1421613
Cc1ccco1	CHEMBL1445555
CC(C)C#N	CHEMBL1492874
C1OCOCO1	CHEMBL1495792
N#CCCC#N	CHEMBL1562258
Cc1cscn1	CHEMBL1566946
CC1CCCO1	CHEMBL1580503
C=CCCC#N	CHEMBL1595985
Nc1nncs1	CHEMBL1650237
C=CCOC=O	CHEMBL1697703
CSC(N)=S	CHEMBL1673038
OCCCSCCO	CHEMBL1741874
CCOCCOCC	CHEMBL1877517
NC(=N)CF	CHEMBL1962624
CNC(N)NC	CHEMBL2009606
C1OOCOO1	CHEMBL2071269
OCS(O)=O	CHEMBL2111064
C1CSCCN1	CHEMBL2333141
COC(S)=S	CHEMBL3039753
NCCCCC=O	CHEMBL2261443
FC1CCNC1	CHEMBL2448948
CCCN(C)C	CHEMBL2448976
CCN(C)CC	CHEMBL2448813
OC1CCOC1	CHEMBL2287517
CCCN=C=S	CHEMBL2251726
CC(CO)CS	CHEMBL3098154
CC(=O)NN	CHEMBL3091859
CCCCOC=O	CHEMBL2270394
CC(CO)CO	CHEMBL3183047
BrCC1CO1	CHEMBL3183066
C1CSCCS1	CHEMBL3183037
COC(C)OC	CHEMBL3183607
CCN(O)CC	CHEMBL3184786
CCCCON=O	CHEMBL3181968
CC=CCC#N	CHEMBL3181969
CCC=CC#N	CHEMBL3185046
COCC(C)N	CHEMBL3184692
CC(O)CCO	CHEMBL3186475
COCC(C)O	CHEMBL3186306
O=CNNC=O	CHEMBL3185965
ON=CC=NO	CHEMBL3185538
BrCCCCBr	CHEMBL3185714
CCCCCCBr	CHEMBL3187491
SC1CCCC1	CHEMBL3186752
NCCCCCCS	CHEMBL3247584
NCC(N)CS	CHEMBL3302693
NC(=N)CS	CHEMBL3304035
NC(=S)NO	CHEMBL3274945
OCC(O)CF	CHEMBL3276496
ClCC=CCl	CHEMBL3561804
CCCCCCCN	CHEMBL3561940
CCCCOC=C	CHEMBL3561125
OC(CI)CI	CHEMBL3707258
CC(=O)C=NO	CHEMBL17940
Nc1ccccc1O	CHEMBL28319
CC1CCOC1=O	CHEMBL36365
Cc1ccccc1C	CHEMBL45005
Cc1ccccc1O	CHEMBL46931
CC=C(C)C=O	CHEMBL53493
CC1CCNC1=O	CHEMBL59378
CC=CC(N)=O	CHEMBL58562
Nc1ccccc1N	CHEMBL70582
Cc1nccnc1C	CHEMBL96425
CN1CC=NC1N	CHEMBL97965
CCNC(N)=S	CHEMBL116961
O=[N](=O)=O	CHEMBL1352
ClCC=CCCl	CHEMBL468582
Cc1ccoc1C	CHEMBL108232
CC=CCC#N	CHEMBL1322495
CCC=CC#N	CHEMBL2138413
CCC=CCCO	CHEMBL2251452
CCCC=CCO	CHEMBL2228463
CCC=CCCO	CHEMBL3184538
CC=CCC=C	CHEMBL3182034
CCC=CC#N	CHEMBL3185899
CN1C=CNC1=S	CHEMBL1515
CC(O)CCO	CHEMBL1231501
CCC(N)CO	CHEMBL3184640
CSCCC(N)CS	CHEMBL36661
CCS(=O)CC	CHEMBL174477
NCC(O)CON	CHEMBL284573
NC(CS)C(O)=O	CHEMBL863
ONN(=O)=O	CHEMBL369802
CC(Cl)CCl	CHEMBL373466
CNN(=O)=O	CHEMBL405641
CSC(N)=N	CHEMBL2112024
ON(O)N=O	CHEMBL1741048
OC1COCC1O	CHEMBL350524
OC1CNCC1O	CHEMBL396701
OC1CCCC1O	CHEMBL399324
S=C1SSC=C1	CHEMBL368700
FC1CCNCC1	CHEMBL1162291
CN1CCCCC1=O	CHEMBL12011
S=C1NCCCCN1	CHEMBL11693
CN(C)C(C)=O	CHEMBL11873
CC(N)C(O)=O	CHEMBL12198
CCN1CCCC1=O	CHEMBL12221
O=C1NCCCCN1	CHEMBL12376
COc1ccc(O)cc1	CHEMBL544
CCCCCC(O)=O	CHEMBL14184
Cn1cncc1CCN	CHEMBL14722
N#Cc1ccccc1	CHEMBL15819
O=Cc1ccccc1	CHEMBL15972
CCCCCC(O)CN	CHEMBL18576
O=C1CCCCCC1	CHEMBL18607
CCCCCC(C)=O	CHEMBL18893
NCCC1CCCCC1	CHEMBL19428
COC1CNC=NC1	CHEMBL21779
CCCc1ccccn1	CHEMBL21824
CCCC1CCCCN1	CHEMBL21867
CC(C)(C)COO	CHEMBL23860
CS(C)(=O)=O	CHEMBL25028
CC(C)(C)CCO	CHEMBL25029
CNCCCNCCCNC	CHEMBL29194
C1CCCC=CCC1	CHEMBL30773
ON1CNCCC1=O	CHEMBL31155
CCCCC(CC)CO	CHEMBL31637
NCCc1ccccn1	CHEMBL32813
NCCCCNCCCCN	CHEMBL36119
CC(N)P(O)=O	CHEMBL37702
OC(=O)C1CO1	CHEMBL35308
CCNCCCNCCCN	CHEMBL37901
CC(=O)OCCBr	CHEMBL42088
CSCCOC(C)=O	CHEMBL42606
NCP(O)(O)=O	CHEMBL41873
CCCCCCCNC=O	CHEMBL43719
CCCC(=O)OCC	CHEMBL44800
Cc1nsc(N)n1	CHEMBL47803
CCOC(=O)C=C	CHEMBL52084
O=C1OCCC=C1	CHEMBL55078
CCOC(=O)C#C	CHEMBL53384
CNCCCCNCC=C	CHEMBL60417
CCN(CC)C(S)=S	CHEMBL961
CNCCCCNCC#C	CHEMBL59623
NC1=CONC1=O	CHEMBL67409
NS(O)(=O)=O	CHEMBL68253
CCCCN=C(N)N	CHEMBL73004
CN(CCN)CCCN	CHEMBL76497
NCCCCCC(O)=O	CHEMBL1046
NC1=NCCSCC1	CHEMBL88308
NCCCCCNCCCN	CHEMBL89035
NNCCc1ccccc1	CHEMBL1089
CCOc1cnccn1	CHEMBL93554
CCSc1cnccn1	CHEMBL93555
CCN1CCC=CC1	CHEMBL98544
CCCCn1ccnc1	CHEMBL97667
O=Nc1ccccc1	CHEMBL98797
NCCCNOCCCN	CHEMBL105749
C[S+](C)C	CHEMBL1237171
Nc1ccc(O)cc1	CHEMBL1142
NCCCP(O)=O	CHEMBL112203
CSCCC(O)=O	CHEMBL116212
OCC(F)(F)F	CHEMBL116675
C1NC=NC=C1	CHEMBL122235
NP(O)(O)=O	CHEMBL121754
CP(O)(O)=S	CHEMBL122577
CC(C)(N)CO	CHEMBL122588
CP(O)(O)=O	CHEMBL122938
OCCN1CCCC1	CHEMBL122581
CCCCCC(C)N	CHEMBL123693
CCCCCCCCCC	CHEMBL134537
CSc1nccn1C	CHEMBL136263
CCCCCNCC#N	CHEMBL139751
CCC(C)(C)C	CHEMBL142735
NC(=N)SCCF	CHEMBL148951
CCOC(=O)NO	CHEMBL153081
NCCc1cscn1	CHEMBL155328
ClCC(Cl)=C	CHEMBL156075
CCCCCCCCBr	CHEMBL156047
CCCCCCCCCl	CHEMBL158445
NC1=NCCCN1	CHEMBL158626
NC1=NCCCO1	CHEMBL161118
NNCCC(O)=O	CHEMBL159205
CN(C=C)N=O	CHEMBL163957
COCN(C)N=O	CHEMBL163961
CCN(CC)N=O	CHEMBL164290
CCCN(C)N=O	CHEMBL165385
O=C1OCC=C1	CHEMBL166223
NC(=O)CCCl	CHEMBL171266
CNc1ccccc1	CHEMBL170781
NC(=O)CCCO	CHEMBL174258
OCCCCCSC#N	CHEMBL176455
O=Cc1ccco1	CHEMBL189362
CSc1ccccc1	CHEMBL192899
CCCCC(C)=O	CHEMBL195861
NCCC(=O)NO	CHEMBL218945
O=Cc1cscn1	CHEMBL225650
N#CN1CCCC1	CHEMBL262697
Cn1cnc(CCN)c1	CHEMBL507
CCCCC(O)=O	CHEMBL268736
N=C1CCCCN1	CHEMBL269058
CCN(CC)C#N	CHEMBL274120
CCC(CC)C=O	CHEMBL273782
O=CC1CCCC1	CHEMBL274711
COc1ccccc1	CHEMBL278024
CCc1ccccn1	CHEMBL279305
O=C1CCCNN1	CHEMBL283612
ON1CNCC1=O	CHEMBL286024
NOCC(O)CON	CHEMBL287667
NCCCC(N)CF	CHEMBL290500
NCCCCNCC#C	CHEMBL292770
CC(N)P(O)O	CHEMBL300051
CC(C)CNC=O	CHEMBL299094
Cn1ccnc1Br	CHEMBL305538
NC1=NCCCS1	CHEMBL306541
ONc1ccccc1	CHEMBL320474
Brc1ccncc1	CHEMBL325044
O=Cc1cccs1	CHEMBL328441
Brc1ccccn1	CHEMBL331374
BrC1NCC=N1	CHEMBL330406
NP(N)(O)=O	CHEMBL333905
CC(C)(C)OO	CHEMBL348399
CC(C)(C)Br	CHEMBL347644
COC(OC)C#C	CHEMBL349188
OCCN(CCO)N=O	CHEMBL1334
CC(C)(C)Cl	CHEMBL346997
O=NN1CCCC1	CHEMBL351175
O=NN1CCOC1	CHEMBL351189
CC(Cl)CCCl	CHEMBL352037
CC1CCN=C1N	CHEMBL359703
CCCCC(N)CS	CHEMBL357138
C=CCSSCC=C	CHEMBL366603
CCc1ccccc1	CHEMBL371561
CNCC(C)CNC	CHEMBL367458
O=Cc1cocn1	CHEMBL444137
CC(C)C(C)O	CHEMBL443470
CN(C)CCCCl	CHEMBL449411
BrC(=C)C=O	CHEMBL447065
NCCSC(N)=N	CHEMBL454761
CCCCCC(C)O	CHEMBL449522
CCCCC(O)CC	CHEMBL452729
C1CCCCCCC1	CHEMBL452651
CC(C)=CC=O	CHEMBL453815
NNc1ccccc1	CHEMBL456807
CC(C)(C)CO	CHEMBL458630
NC1CCCCC1	CHEMBL1794762
CCCCCCCCl	CHEMBL1797136
OC(CCl)CCl	CHEMBL468581
CCCSC(N)=N	CHEMBL483092
CCCCC(C)C	CHEMBL1797267
OC1CCCCCC1	CHEMBL503332
CCNC(N)=NN	CHEMBL507240
OCCC(O)=O	CHEMBL1205969
Clc1ccccn1	CHEMBL509579
CSSc1cccs1	CHEMBL554538
CC(C)(C)NO	CHEMBL555486
OCCn1ccnc1	CHEMBL555293
ClC(=C)C=C	CHEMBL555660
O=C1NCCO1	CHEMBL1867161
CCCCN=C=S	CHEMBL1814588
NCCc1cccs1	CHEMBL252803
CN(C)CCCO	CHEMBL1209424
CC(=O)CBr	CHEMBL1085947
OC(=O)C=C	CHEMBL1213529
OC(=O)C#C	CHEMBL1213530
CSCC(N)CS	CHEMBL1159811
CCCCCCCCN	CHEMBL1160509
Fc1ccccn1	CHEMBL1162360
OC(=O)C=O	CHEMBL1162545
FC1CCCNC1	CHEMBL1162289
Fc1cccnc1	CHEMBL1162361
Nc1cnccn1	CHEMBL1834089
COC(=O)CN	CHEMBL1193103
CNC(=N)NC	CHEMBL1193979
CSCCNCCCN	CHEMBL1191798
CCSCCNCCN	CHEMBL1195713
NCCC(N)=O	CHEMBL1229081
O=C1CCCCO1	CHEMBL452383
NC(=N)NN=O	CHEMBL447467
CCCCCCCCCCO	CHEMBL25363
OCCCCCCBr	CHEMBL1231334
CCCC(N)=O	CHEMBL1231396
CCOCCOCCO	CHEMBL1230841
OCC(=O)CO	CHEMBL1229937
[C-]#[O+]	CHEMBL1231840
CCCCCCC#N	CHEMBL1231869
O=CCCCC=O	CHEMBL1235482
CCOP(O)=O	CHEMBL1231082
CC(=O)CCl	CHEMBL1231084
CN(C)CCCN	CHEMBL1232234
CNC(=O)NC	CHEMBL1234380
COCCOCCOC	CHEMBL1234162
OCCC(O)CO	CHEMBL1356759
COC(=O)CS	CHEMBL1341329
CC(=O)NBr	CHEMBL1256514
NCCS(O)=O	CHEMBL1256480
C1CCCNCC1	CHEMBL1375444
CCCCCCC=C	CHEMBL1376677
CC(=C)C#N	CHEMBL1529759
N#CSCSC#N	CHEMBL1524617
CCCC(C)CO	CHEMBL1569610
CC(=C)C=C	CHEMBL1566132
CC(=O)C=C	CHEMBL1600824
ClCCOCCCl	CHEMBL1613350
ONCC(O)=O	CHEMBL1645222
COCC(O)=O	CHEMBL1697714
OCCNCNC=O	CHEMBL1984734
CONC(C)=O	CHEMBL1990145
O=S1CSCS1	CHEMBL1971386
OCC#CCNCl	CHEMBL1998044
N=C1SCCS1	CHEMBL2009648
ICC1CCCO1	CHEMBL1999579
NC(=N)CCl	CHEMBL2365371
S=C1NCCS1	CHEMBL2398099
CCOC(S)=S	CHEMBL3039661
CC(C)CCCO	CHEMBL2260955
OCCCCCCCl	CHEMBL2260959
CN(C)CC#N	CHEMBL2448941
CCCCN(C)C	CHEMBL2448977
COCCN(C)C	CHEMBL2448835
CN1CCOCC1	CHEMBL2448839
O=COC1CC1	CHEMBL2924223
OCC1CCOC1	CHEMBL2287525
CCC(Cl)Cl	CHEMBL2287704
OCC1CCCO1	CHEMBL2287521
CCc1ccco1	CHEMBL2269084
CCC(O)C=C	CHEMBL2269086
CCC(C)C=O	CHEMBL2270060
CCCSSSCCC	CHEMBL3222023
NNC(=S)NN	CHEMBL3181818
CC(C)(C)S	CHEMBL3182458
CNC(=S)NN	CHEMBL3182946
CCC(=O)OC	CHEMBL3183973
COC(=O)NN	CHEMBL3183780
CCC(CC)CO	CHEMBL3181836
BrCCCCCBr	CHEMBL3182198
COC(Cl)=O	CHEMBL3182300
CCC(C)=NO	CHEMBL3181847
CC(C)=CCO	CHEMBL3184952
OCCCCOC=C	CHEMBL3182123
ClCC=CCCl	CHEMBL3182125
CCCCCCCCS	CHEMBL3182056
COP(=O)OC	CHEMBL3183964
COC(=O)OC	CHEMBL3185216
C1COC=CC1	CHEMBL3184439
CC(C)OC=O	CHEMBL3184082
O=C1OCCO1	CHEMBL3181803
CCCCNCCCC	CHEMBL3184528
COP(OC)OC	CHEMBL3186364
CC(C)CC#N	CHEMBL3186839
COC(C)CCO	CHEMBL3186019
CCOCC(C)O	CHEMBL3188294
OCC(O)CCl	CHEMBL3185949
CCCSSCC=C	CHEMBL3187351
COC(OC)OC	CHEMBL3187679
COCC(O)CO	CHEMBL3187682
CCCCCON=O	CHEMBL3188202
SC1CCCCC1	CHEMBL3187982
C1C=CC=C1	CHEMBL3188826
C=CCNCC=C	CHEMBL3186706
CCC(CO)CO	CHEMBL3187400
N#CCNCC#N	CHEMBL3186090
CC(C)OCCO	CHEMBL3187409
CNC(=S)NC	CHEMBL3189044
CSCCCCCCN	CHEMBL3247585
OCC(=O)CF	CHEMBL3276492
OCC(O)CBr	CHEMBL3276497
Ic1ccccn1	CHEMBL3274303
OCC(CS)CS	CHEMBL3425833
CC(=C)CCO	CHEMBL3561140
SCc1ccco1	CHEMBL3560314
O=S1OCCO1	CHEMBL3561007
NCc1ccco1	CHEMBL3561633
CCCCSCCCC	CHEMBL3561568
CN(C)CCCl	CHEMBL3580424
CCCCNCC=C	CHEMBL3558346
CN1CCCNC1=O	CHEMBL12319
NCc1ccccc1F	CHEMBL12892
COc1ccccc1O	CHEMBL13766
ON=Cc1cnsn1	CHEMBL19205
ON=Cc1cnns1	CHEMBL19953
NCC=CC(O)=O	CHEMBL32307
NCC=CC(O)=O	CHEMBL33086
CCC1CCOC1=O	CHEMBL35976
CCC1CCSC1=O	CHEMBL36472
CCC1CCNC1=O	CHEMBL57505
CSc1nccnc1C	CHEMBL97593
CN1CC=NC1Br	CHEMBL99153
CC(=C)C=NO	CHEMBL104456
Nc1ccccc1S	CHEMBL116835
Cc1ncccc1O	CHEMBL134348
CCCCCCC=NO	CHEMBL137790
CN1CCSC1=N	CHEMBL167256
Nc1ccccc1F	CHEMBL195328
Oc1ccccc1F	CHEMBL224144
Oc1ccccc1I	CHEMBL225564
Oc1ccccc1O	CHEMBL280998
CC1CCSC1=O	CHEMBL287617
Cc1cccnc1N	CHEMBL291544
CN1CC=NC1F	CHEMBL327284
CC(Cl)=CCl	CHEMBL346519
Cc1ccccc1F	CHEMBL352215
Nc1ccncc1N	CHEMBL354077
CN1CCSC1=S	CHEMBL397404
CCCCC=CC=O	CHEMBL454759
BrCC=CCBr	CHEMBL1324439
N#CC=CC#N	CHEMBL1451833
COCC=CCOC	CHEMBL1994550
CCC(C)=NO	CHEMBL2139230
[C-]#[O+]	CHEMBL2364719
CCCC=CC=O	CHEMBL2228570
CCCCC=CCO	CHEMBL2228464
ClCC=CCCl	CHEMBL3182662
CC=CC=CCO	CHEMBL3187813
NCCCCC(N)CS	CHEMBL68509
NCCCCC(N)CO	CHEMBL69146
OC(=O)C1CS1	CHEMBL89684
OCC1COCCO1	CHEMBL232500
OCC(O)CCl	CHEMBL1794186
CC(N)C(O)=O	CHEMBL66693
NC(CS)CCCS	CHEMBL101771
O=S1CCCCC1	CHEMBL170710
O=S1CCNCC1	CHEMBL171361
O=S1CCOCC1	CHEMBL170059
OCCN(=O)=O	CHEMBL324774
OCC1COCCO1	CHEMBL364472
OCC(Br)CBr	CHEMBL451934
OCC(Cl)CCl	CHEMBL503563
OCC1CCCN1	CHEMBL1916080
O=S1CSSC1	CHEMBL1974557
NC1COC1=O	CHEMBL2219564
NC1CCNC1=O	CHEMBL288076
NC1CONC1=O	CHEMBL448864
NC1COC1=O	CHEMBL2219717
OC1CN=CC1O	CHEMBL389969
OC1CN=CC1O	CHEMBL232244
NC1CCCC1O	CHEMBL2375114
OC1CNCC1O	CHEMBL2207396
OCC1NCCC1O	CHEMBL408355
OC1CNCC1O	CHEMBL2335511
CN1C=CNC1=O	CHEMBL157963
O=C1SSC=C1	CHEMBL1170806
CC(N)Cc1ccccc1	CHEMBL405
CC1CCN=C(N)C1	CHEMBL6808
OC(=O)CC(O)=O	CHEMBL7942
CN(CCBr)CCBr	CHEMBL12384
CN1CCCCCC1=O	CHEMBL12103
OC(=O)c1ccccc1	CHEMBL541
OC(=O)CCC(O)=O	CHEMBL576
NC(=O)C(O)=O	CHEMBL15976
CC(Cl)(Cl)Cl	CHEMBL16080
Cc1ccc(O)cc1	CHEMBL16645
CCCCCCC(O)CN	CHEMBL18542
CCCCCCC(C)=O	CHEMBL18549
NCC(O)C1CCC1	CHEMBL18583
CC(C)CC(O)CN	CHEMBL18638
NCC1(O)CCCC1	CHEMBL18666
O=C1CCCCCCC1	CHEMBL18737
OC(=O)c1cnccn1	CHEMBL613
NC(=O)c1cnccn1	CHEMBL614
NCCN(CCN)CCN	CHEMBL19823
CN1CCCC(O)C1	CHEMBL21531
CN1CCC(O)CC1	CHEMBL22332
Cc1cccc(C)n1	CHEMBL22976
Oc1cccc(O)c1	CHEMBL24147
OCCNc1ccncc1	CHEMBL24479
CNCCc1ccccn1	CHEMBL24441
CN(C)CC(O)CO	CHEMBL26920
CNCCCCCCCCNC	CHEMBL28936
Nc1ccc(F)cc1	CHEMBL32014
CCCCCCCCCCCC	CHEMBL30959
Cc1ccc(C)cc1	CHEMBL31561
OC(=O)C1CCN1	CHEMBL33592
CCNCCCCNCCCN	CHEMBL36145
CCNCCCNCCCCN	CHEMBL36610
NCCCCCNCCCCN	CHEMBL34476
CNCCCCNCCCNC	CHEMBL37490
CCCNCCCNCCCN	CHEMBL37716
Cc1ccnc(N)c1	CHEMBL40833
CCNP(O)(O)=O	CHEMBL38354
Nc1ccc(I)cc1	CHEMBL41790
C[N+](C)(C)C	CHEMBL46486
OC(CS)C(O)CS	CHEMBL47903
OC(=O)CCOCCI	CHEMBL47999
CNCCc1ccccc1	CHEMBL45763
CCCCC(=O)OCC	CHEMBL47483
CCCCCOC(C)=O	CHEMBL47769
O=CNC1CCCCC1	CHEMBL46778
S=C=NCCCCC#N	CHEMBL49364
ClCCNCCNCCCl	CHEMBL54641
C[N+](C)(C)CCO	CHEMBL920
NC(CS)C(O)=O	CHEMBL54943
CC(N)C(C)CCN	CHEMBL54961
Oc1ccc(F)cc1	CHEMBL56226
CCC(N)C(O)=O	CHEMBL55242
Oc1ccc(I)cc1	CHEMBL56475
Oc1cccc(F)c1	CHEMBL57342
NCCCCNC(N)=N	CHEMBL58343
Cc1ccc(N)cc1	CHEMBL58521
CC(N)CC(C)CN	CHEMBL59711
CC(CN)C(C)CN	CHEMBL59811
Nc1cccc(F)c1	CHEMBL58888
CSc1ncc[nH]1	CHEMBL61455
NCCCCNCC=C=C	CHEMBL59622
CC(N)CCC(C)N	CHEMBL59971
Cc1cccc(N)n1	CHEMBL61591
Cc1ccc(N)nc1	CHEMBL61990
Clc1ncc[nH]1	CHEMBL64560
CN1CCCC(F)C1	CHEMBL65615
CCS(N)(=O)=O	CHEMBL69291
OC(=O)CCCCCS	CHEMBL78998
CC(=O)NCCCCN	CHEMBL81241
NC1=NCCCSCC1	CHEMBL92422
ON=C1CCCCCC1	CHEMBL92922
NCc1c[nH]cn1	CHEMBL92694
CCCCc1cnccn1	CHEMBL93499
Cc1cnc(C)cn1	CHEMBL94709
CSSCc1ccccc1	CHEMBL95973
CCCCCn1ccnc1	CHEMBL96001
CS(=O)(=O)NO	CHEMBL98328
CCNCCCCCCCN	CHEMBL103880
C[S+](C)CCO	CHEMBL104586
CC(C)C(O)=O	CHEMBL108778
CCCCCCCCCCN	CHEMBL109819
OCCN1CCCCC1	CHEMBL118227
CSSc1ccccc1	CHEMBL118504
COC(=O)CCSC	CHEMBL119603
C=CCSSSCC=C	CHEMBL123040
